venue.id,venue.name,venue.location.lat,venue.location.lng,borough,rating,likes,tips_count
3fd66200f964a52094e61ee3,Kenn's Broome Street Bar,40.72331594075375,-74.00320029900396,Manhattan Community Board 2,7.0,204,87
4b1f3784f964a520ec2424e3,Johnny Rockets,40.738633,-74.030629,Hudson County,7.0,63,39
4ee535472c5b5fc6cd1fd9d9,The Wren,40.726322,-73.992201,Manhattan Community Board 3,8.5,1150,219
4bc856e92f94d13ad75b137f,Jimbo's Hamburgers,40.80234167176706,-73.95055384160399,Manhattan Community Board 10,7.1,13,14
48510cf9f964a520a5501fe3,Restaurant Marc Forgione,40.71637984317071,-74.00962933453428,Manhattan Community Board 1,8.7,354,173
3fd66200f964a52091e61ee3,Tribeca Grill,40.7195485688156,-74.01023432493034,Manhattan Community Board 1,8.0,268,90
52487385498e8d3af50faac2,The Long Island Bar,40.690642796181855,-73.99631850047321,Brooklyn,8.7,479,94
5b8ac81be55d8b002cc4a3ce,Sonic Drive-In,40.760244,-73.8283596,Queens,7.2,2,3
54283abd498e920cadc9692d,Slick Willie,40.728260093610864,-73.94946276978422,Brooklyn,7.0,25,12
49f26862f964a520296a1fe3,Zack's Oak Bar & Restaurant,40.74064008523523,-74.03382573472544,Hudson County,8.5,118,47
46f52f99f964a520ef4a1fe3,Sidecar,40.665320568149035,-73.98956313632414,Brooklyn,8.4,325,188
4cb06cd5aef16dcb8883b054,Sonic Drive-In,40.7740935,-74.0379511,Hudson County,7.1,64,27
54fbc4fe498e7a3139212c33,Munch,40.72087494784021,-73.84630367159843,Queens,6.7,10,5
45841feaf964a520973f1fe3,brgr,40.74615657968555,-73.99411211114095,Manhattan Community Board 5,6.0,163,152
4ba2273ff964a520a4df37e3,Jimbo's Hamburger Palace,40.81522423017631,-73.94000920888253,Manhattan Community Board 10,6.8,55,21
4b71a0b3f964a52014522de3,Jimbo's Hamburger Palace,40.80744793091153,-73.94581783206462,Manhattan Community Board 10,6.6,16,12
45e5c256f964a52046431fe3,Mudville Restaurant & Tap House,40.71533575723845,-74.00888099625213,Manhattan Community Board 1,7.8,268,138
4da4881522a5f04d67b03a55,Cafe R,40.748752521133795,-73.98975491523743,Manhattan Community Board 4,7.5,170,70
4a561d04f964a52077b41fe3,Burger Burger,40.70407301521319,-74.01061722952952,Manhattan Community Board 1,6.4,42,47
4b905c73f964a5203a8633e3,Wendy's,40.76904841719546,-73.83572496009037,Queens,6.6,41,22
