venue.id,venue.name,venue.location.lat,venue.location.lng,borough
4ad4c05cf964a5200af620e3,Jersey Giant,43.64851705757875,-79.3731415271759,St. Lawrence
53c1819d498e99274aad7cb2,El Furniture Warehouse TO,43.66585168211681,-79.40793828065983,University—Rosedale
516c41cde4b01374095cf6ac,TAT Burger,43.65259841104095,-79.4329038486466,Davenport
4e87640a7ee6449cee8adfa6,Harvey's & Swiss Chalet,43.70703118456129,-79.39658573254434,Toronto—St. Paul's
57253035498eed7a539bb4fd,Burgatory,43.655056806247536,-79.41856280928084,University—Rosedale
4a88a344f964a520400720e3,O'Grady's Tap & Grill,43.6645787385702,-79.38061941479945,Toronto Centre
523f7a3d11d29e0573145da2,KO Burger,43.67714260002933,-79.3588072791332,East York
4d3a0fee49cb236ae622b647,Chuck & Co.,43.68175,-79.425295,Toronto—St. Paul's
55f7090e498ea00cbdb2db1c,TuckShop Kitchen,43.665050030369365,-79.45562358090127,Davenport
4bf95e8f5efe2d7ffa126c34,Drake Cafe,43.64306058404513,-79.42481960868692,Davenport
4ae71a7bf964a52071a821e3,Swiss Chalet,43.68958705003143,-79.39477502747775,Toronto—St. Paul's
4bf03befc601a5939873c3d1,Island Cafe,43.63092254618985,-79.35606798893221,Ward's Island
4edeeba1be7b760697d35b5e,Bier Markt,43.73369851588495,-79.3446775447473,Don Valley East
4bf5bea95e800f47ed1ee6d4,McDonald's,43.68175823904737,-79.42694977578196,Hillcrest Village
4bd318c0a8b3a5938a09695f,Big Bite Burger,43.70021857374546,-79.42947466238286,Toronto—St. Paul's
4adcc512f964a5209f2f21e3,Boo Radley's Junction Bar and Grill,43.666110374762674,-79.45017005861318,Davenport
4ae094a7f964a5208f8021e3,SCHOOL Restaurant,43.6377753703417,-79.42429737067897,Spadina—Fort York
4ad4c05cf964a520c7f520e3,The Rivoli,43.64912175120177,-79.39486837707334,Spadina—Fort York
5ac6a1199411f261760fde9f,South St. Burger,43.7230841,-79.4161395,Eglinton—Lawrence
4aec5216f964a52009c621e3,Gayley's Cafe,43.649581803950916,-79.42945883294416,Davenport
